sample_number;quantity;copper;zinc;calcium;gold;silver;organic
0;80;1.5;21.67;2.7;0.4;0.61;97.8
5;80;2.01;12;2.7;0.4;0.28;97.8
3;10;1.44;1.33;0.2;0.4;0.65;99.6
5;84;1.74;15;3;0.6;0.3;102
5;117;1.95;14.67;3.7;0.3;0.44;93.9
5;69;1.92;11.33;2.5;0.7;0.29;97.2
5;123;2.22;5;4;0.7;0.27;90.9
5;104;2.34;15.67;3.5;0.4;0.19;89.7
0;104;2.34;15.67;3.5;0.4;0.19;89.7
6;53;2.1;4.67;2;0.6;0.36;84.6
5;78;1.5;6.67;2.7;0.6;0.2;101.1
0;130;1.47;13;4.2;0.6;0.33;99.9
5;70;2.19;8.67;2.5;0.5;0.4;85.2
5;93;1.83;10.33;3.2;0.3;0.38;94.5
5;35;2.07;2;1.5;0.4;0.28;94.8
5;81;2.34;10.33;2.7;0.4;0.2;89.7
0;64;2.31;7;2.2;0.4;0.17;94.2
0;82;1.53;8.33;2.7;0.4;0.42;101.4
6;49;2.22;10.33;2;0.4;0.36;87.9
0;79;2.01;10.67;2.7;0.4;0.13;93.6
6;60;2.01;7.33;2.2;0.4;0.39;90.9
5;99;2.07;19;3.2;0.4;0.36;98.4
5;52;2.64;6;2;0.4;0.2;89.1
5;17;2.13;5;1;0.5;0.12;90.6
5;17;2.13;5;1;0.5;0.12;90.6
5;60;2.19;15;2.2;0.3;0.22;91.8
6;108;1.86;6;3.5;0.3;0.23;91.5
5;107;2.61;7.67;3.5;0.5;0.3;93.6
5;83;1.95;13.67;2.7;0.3;0.33;97.2
5;83;1.95;13.67;2.7;0.3;0.33;97.2
5;76;2.28;7.67;2.7;0.3;0.27;92.4
3;48;1.65;6;2;0.5;0.42;99.9
5;168;2.04;18;5.2;0.4;0.19;97.5
5;8;2.13;1.33;0.7;0.4;0.2;96
5;8;2.13;1.33;0.7;0.4;0.2;96
5;45;1.71;5;1.7;0.5;0.28;91.8
5;94;2.13;13;3.2;0.5;0.36;92.4
5;94;2.13;13;3.2;0.5;0.36;92.4
5;62;1.86;7.33;2.2;0.4;0.19;91.5
5;52;2.04;7.83;2;0.5;0.26;94.8
6;37;1.71;2.33;1.5;0.4;0.26;101.7
5;69;1.98;9.67;2.5;0.4;0.33;97.8
6;90;1.8;8;3;0.5;0.27;99.6
5;73;2.22;4.67;2.5;0.5;0.25;90
5;84;2.16;4.67;3;0.4;0.32;89.7
5;84;2.16;4.67;3;0.4;0.32;89.7
5;113;2.04;12.67;3.7;0.4;0.39;95.4
5;113;2.04;12.67;3.7;0.4;0.39;95.4
5;113;2.04;12.67;3.7;0.4;0.39;95.4
5;66;2.01;6.67;2.5;0.2;0.21;95.7
1;76;1.74;11;2.7;0.4;0.58;98.7
5;46;1.95;4;1.7;0.8;0.26;97.5
3;11;1.41;1.67;0.2;0.3;0.67;99
5;93;2.22;10.33;3.2;0.3;0.25;93.9
5;48;1.89;6;2;0.3;0.34;96.6
5;78;1.8;7.33;2.7;0.3;0.21;97.8
5;49;2.19;6.67;2;0.6;0.24;92.4
5;122;2.13;13.33;4;0.4;0.21;95.1
5;65;1.98;8;2.2;0.6;0.36;102.3
5;97;1.83;8.67;3.2;0.3;0.27;93.6
6;60;2.07;5.67;2.2;0.5;0.21;94.5
5;60;1.85;6.67;2.2;0.5;0.21;101.7
5;60;1.85;6.67;2.2;0.5;0.21;101.7
5;101;2.01;7.33;3.2;0.5;0.48;94.5
5;101;2.01;7.33;3.2;0.5;0.48;94.5
5;93;2.25;12.67;3.2;0.5;0.38;92.4
5;99;1.65;10.33;3.2;0.5;0.34;106.5
5;128;2.52;17.33;4;0.3;0.31;87.9
5;128;2.52;17.33;4;0.3;0.31;87.9
5;136;2.28;19;4.2;0.4;0.31;92.4
5;56;2.1;5.67;2;0.5;0.25;97.8
5;105;2.25;7.67;3.5;0.6;0.26;93.9
5;81;1.89;13.67;2.7;0.3;0.25;95.7
5;62;1.8;6;2.2;1;0.27;97.2
5;112;1.83;9.67;3.7;0.4;0.32;94.5
5;62;1.89;3.67;2.2;0.4;0.23;99
5;138;1.89;9.33;4.4;0.6;0.19;96
5;74;2.01;7.33;2.5;0.6;0.19;96.9
5;29;2.64;4.67;1.2;0.3;0.28;90.3
5;1;2.07;1.67;0.5;0.4;0.39;99.3
6;93;2.22;11.33;3.2;0.6;0.2;97.8
5;105;2.22;7.33;3.5;0.6;0.26;93.9
5;105;2.22;7.33;3.5;0.6;0.26;93.9
5;154;1.68;7.67;4.7;0.5;0.35;106.2
5;91;2.16;4.67;3;0.6;0.3;93.3
5;109;1.53;14.67;3.5;0.4;0.33;100.8
5;77;1.68;11.33;2.7;0.4;0.42;96.6
5;76;1.89;11;2.7;0.5;0.19;91.2
5;96;2.16;16;3.2;0.7;0.14;91.2
5;80;1.89;12.67;2.7;0.6;0.15;102.6
5;77;1.95;10.33;2.7;0.7;0.32;96
5;27;1.77;5.67;1.2;0.4;0.29;100.5
6;87;1.62;9.67;3;0.5;0.27;99.9
5;90;1.65;6.67;3;0.4;0.29;100.2
5;66;1.98;6.33;2.5;0.5;0.24;97.5
6;92;1.83;7.67;3;0.5;0.19;101.1
5;67;2.04;6.33;2.5;0.5;0.32;94.2
5;67;2.04;6.33;2.5;0.5;0.32;94.2
5;90;1.89;9.33;3;0.4;0.41;99
5;95;1.92;18.67;3.2;0.7;0.22;95.4
5;95;1.92;18.67;3.2;0.7;0.22;95.4
5;84;2.25;14;3;0.5;0.13;98.4
5;69;2.13;1;2.5;0.3;0.27;88.5
5;112;2.13;11;3.7;0.6;0.17;93.3
5;60;1.95;2;2.2;0.5;0.34;94.5
5;67;2.43;16.33;2.5;0.4;0.2;87.6
5;67;2.43;16.33;2.5;0.4;0.2;87.6
